"Bitcoin Diamond
(BCD)","1.74
USD" 
"Vipstar Coin
(VIPS)","0.000383
USD"
"XPA
(XPA)","0.079736
USD"
"Neblio
(NEBL)","2.01
USD"
"Loki
(LOKI)","0.383777
USD"
"VITE
(VITE)","0.036219
USD"
"Ardor
(ARDR)","0.117171
USD"
"Bluzelle
(BLZ)","0.133098
USD"
"Hydro
(HYDRO)","0.004218
USD"
"DAO.Casino
(BET)","0.031894
USD"
"Elastos
(ELA)","9.10
USD"
"ETHLend
(LEND)","0.018831
USD"
"Factom
(FCT)","4.33
USD"
"Electroneum
(ETN)","0.019562
USD"
"Bitcoin
(BTC)","6527.89
USD"
"Siacoin
(SC)","0.007073
USD"
"Substratum
(SUB)","0.112330
USD"
"Nxt
(NXT)","0.060123
USD"
"LoyalCoin
(LYL)","0.002386
USD"
"TRAXIA
(TMT)","0.009881
USD"
"Litecoin Cash
(LCC)","0.024110
USD"
"Decentraland
(MANA)","0.072898
USD"
"DADI
(DADI)","0.081695
USD"
"Dash
(DASH)","155.32
USD"
"Swarm
(SWM)","0.108705
USD"
"YOYOW
(YOYOW)","0.031115
USD"
"Storj
(STORJ)","0.354812
USD"
"Zebi
(ZCO)","0.012699
USD"
"Delphy
(DPY)","0.223755
USD"
"Neurotoken
(NTK)","0.065484
USD"
"BABB
(BAX)","0.000618
USD"
"Neumark
(NEU)","0.343091
USD"
"Ethos
(ETHOS)","0.409997
USD"
"COSS
(COSS)","0.066534
USD"
"Experience Points
(XP)","0.000017
USD"
"Pillar
(PLR)","0.115924
USD"
"Hydro Protocol
(HOT)","0.010209
USD"
"UTRUST
(UTK)","0.035348
USD"
"Viberate
(VIB)","0.047827
USD"
"DATA
(DTA)","0.003058
USD"
"Hiveterminal Token
(HVN)","0.022287
USD"
"POA Network
(POA)","0.104568
USD"
"Databits
(DTB)","0.200351
USD"
"AI Doctor
(AIDOC)","0.012542
USD"
"NANJCOIN
(NANJ)","0.000451
USD"
"Chronobank
(TIME)","8.09
USD"
"OST
(OST)","0.046820
USD"
"Loopring
(LRC)","0.111300
USD"
"Bitcoin Green
(BITG)","2.04
USD"
"SIRIN LABS Token
(SRN)","0.074232
USD"
"Constellation
(DAG)","0.006510
USD"
"Linda
(LINDA)","0.001237
USD"
"IoT Chain
(ITC)","0.240371
USD"
"OmiseGO
(OMG)","3.35
USD"
"Quantstamp
(QSP)","0.041449
USD"
"Primas
(PST)","0.232136
USD"
"BridgeCoin
(BCO)","1.42
USD"
"Game.com
(GTC)","0.024362
USD"
"Mainframe
(MFT)","0.007784
USD"
"Clams
(CLAM)","1.63
USD"
"Horizen
(ZEN)","13.84
USD"
"Moss Coin
(MOC)","0.065352
USD"
"Consensus
(SEN)","0.002996
USD"
"Paxos Standard Token
(PAX)","1.01
USD"
"Achain
(ACT)","0.029265
USD"
"ZCoin
(XZC)","10.01
USD"
"Cred
(LBA)","0.045155
USD"
"Sentinel Protocol
 (UPP)","0.027846
USD"
"Namecoin
(NMC)","0.627513
USD"
"Loom Network
(LOOM)","0.127486
USD"
"OAX
(OAX)","0.253645
USD"
"Dragonchain
(DRGN)","0.198989
USD"
"Golem
(GNT)","0.163984
USD"
"Wanchain
(WAN)","0.997281
USD"
"Airbloc
(ABL)","0.029496
USD"
"Cobinhood
(COB)","0.026861
USD"
"YEE
(YEE)","0.004814
USD"
"Dynamic Trading Rights
(DTR)","0.017893
USD"
"adToken
(ADT)","0.014541
USD"
"DigiByte
(DGB)","0.023799
USD"
"Blocktrade Token
(BTT)","0.079118
USD"
"Vertcoin
(VTC)","0.688879
USD"
"GoChain
(GO)","0.047514
USD"
"Covesting
(COV)","0.909177
USD"
"BlockMason Credit Protocol
(BCPT)","0.109248
USD"
"Global Social Chain
(GSC)","0.012368
USD"
"Universa
(UTNP)","0.004479
USD"
"Phore
(PHR)","0.477279
USD"
"Cardstack
(CARD)","0.001883
USD"
"Metronome
(MET)","1.52
USD"
"DATx
(DATX)","0.004138
USD"
"Mercury
(MER)","0.112175
USD"
"Vitae
(VITAE)","2.95
USD"
"Ulord
(UT)","0.116595
USD"
"FuzeX
(FXT)","0.012883
USD"
"ZClassic
(ZCL)","3.32
USD"
"Quantum Resistant Ledger
(QRL)","0.258946
USD"
"IoTeX
(IOTX)","0.017097
USD"
"TaTaTu
(TTU)","0.125740
USD"
"Insight Chain
(INB)","0.287240
USD"
"Wings
(WINGS)","0.168002
USD"
"Zeusshield
(ZSC)","0.004152
USD"
"CyberMiles
(CMT)","0.113537
USD"
"Eden
(EDN)","0.017258
USD"
"Storm
(STORM)","0.008434
USD"
"OneRoot Network
(RNT)","0.083705
USD"
"Arcblock
(ABT)","0.207191
USD"
"High Performance Blockchain
(HPB)","0.715060
USD"
"Cube
(AUTO)","0.002668
USD"
"LUXCoin
(LUX)","1.94
USD"
"Binance Coin
(BNB)","9.77
USD"
"Dropil
(DROP)","0.003067
USD"
"IHT Real Estate Protocol
(IHT)","0.025780
USD"
"DAPS Token
(DAPS)","0.000260
USD"
"CVCoin
(CVN)","0.494346
USD"
"SafeInsure
(SINS)","4.85
USD"
"Bitcoin Gold
(BTG)","26.04
USD"
"Melon
(MLN)","10.54
USD"
"Modum
(MOD)","1.02
USD"
"Numeraire
(NMR)","4.71
USD"
"Telcoin
(TEL)","0.000847
USD"
"PACcoin
($PAC)","0.002121
USD"
"Nebulas
(NAS)","1.67
USD"
"Everus
(EVR)","0.016713
USD"
"Kyber Network
(KNC)","0.419733
USD"
"Change
(CAG)","0.115218
USD"
"PumaPay
(PMA)","0.000341
USD"
"Thingschain
(TIC)","0.000397
USD"
"BHPCash
(BHPC)","1.13
USD"
"ATN
(ATN)","0.112706
USD"
"Bitcoin Private
(BTCP)","2.28
USD"
"Holo
(HOT)","0.001110
USD"
"PolySwarm
(NCT)","0.003717
USD"
"Electra
(ECA)","0.000455
USD"
"SmartMesh
(SMT)","0.017831
USD"
"NKN
(NKN)","0.050069
USD"
"Quant
(QNT)","1.72
USD"
"Aion
(AION)","0.425177
USD"
"Monetha
(MTH)","0.037603
USD"
"Egretia
(EGT)","0.001373
USD"
"Stakenet
(XSN)","0.183229
USD"
"ZrCoin
(ZRC)","1.82
USD"
"DEW
(DEW)","0.189296
USD"
"Unikoin Gold
(UKG)","0.033157
USD"
"Everex
(EVX)","0.545673
USD"
"GXChain
(GXS)","1.42
USD"
"SmartCash
(SMART)","0.021533
USD"
"Oyster
(PRL)","0.177445
USD"
"Fortuna
(FOTA)","0.016844
USD"
"Skycoin
(SKY)","3.72
USD"
"Smartlands
(SLT)","2.36
USD"
"bitUSD
(BITUSD)","1.02
USD"
"CyberVein
(CVT)","0.019335
USD"
"CasinoCoin
(CSC)","0.000389
USD"
"Basic Attention Token
(BAT)","0.254036
USD"
"Particl
(PART)","2.24
USD"
"ZPER
(ZPR)","0.005125
USD"
"DeepOnion
(ONION)","0.332223
USD"
"Red Pulse Phoenix
(PHX)","0.013871
USD"
"SingularDTV
(SNGLS)","0.026509
USD"
"Emercoin
(EMC)","0.980723
USD"
"Wagerr
(WGR)","0.144345
USD"
"WAX
(WAX)","0.073232
USD"
"CPChain
(CPC)","0.027496
USD"
"Blockport
(BPT)","0.095601
USD"
"Ternio
(TERN)","0.015321
USD"
"ContentBox
(BOX)","0.010498
USD"
"HashCoin
(HSC)","0.000353
USD"
"OracleChain
(OCT)","0.142057
USD"
"PotCoin
(POT)","0.024725
USD"
"Endor Protocol
(EDR)","0.047956
USD"
"Mothership
(MSP)","0.069027
USD"
"DMarket
(DMT)","0.432281
USD"
"ARBITRAGE
(ARB)","5.78
USD"
"Safe Exchange Coin
(SAFEX)","0.010758
USD"
"RChain
(RHOC)","0.144001
USD"
"TE-FOOD
(TFD)","0.011432
USD"
"Revain
(R)","0.164577
USD"
"E-Dinar Coin
(EDR)","0.014427
USD"
"Qubitica
(QBIT)","3.29
USD"
"Internet Node Token
(INT)","0.030122
USD"
"Tokenomy
(TEN)","0.157562
USD"
"Electrify.Asia
(ELEC)","0.009004
USD"
"SIX
(SIX)","0.026012
USD"
"SwftCoin
(SWFTC)","0.002466
USD"
"PRIZM
(PZM)","0.217251
USD"
"Mithril
(MITH)","0.259452
USD"
"ION
(ION)","0.562462
USD"
"Augur
(REP)","13.14
USD"
"Playgroundz
(IOG)","0.359752
USD"
"Jibrel Network
(JNT)","0.117496
USD"
"REPO
(REPO)","0.098664
USD"
"STASIS EURS
(EURS)","1.13
USD"
"Matrix AI Network
(MAN)","0.240916
USD"
"Pepe Cash
(PEPECASH)","0.007477
USD"
"MediBloc [ERC20]
(MEDX)","0.006469
USD"
"NaPoleonX
(NPX)","0.187284
USD"
"Bismuth
(BIS)","0.579448
USD"
"Ravencoin
(RVN)","0.040528
USD"
"Patron
(PAT)","0.023800
USD"
"QASH
(QASH)","0.217125
USD"
"Selfkey
(KEY)","0.006168
USD"
"BnkToTheFuture
(BFT)","0.035789
USD"
"TTC Protocol
(TTC)","0.065473
USD"
"Mobius
(MOBI)","0.029677
USD"
"Bytecoin
(BCN)","0.001353
USD"
"Winding Tree
(LIF)","0.312803
USD"
"Myriad
(XMY)","0.003115
USD"
"Nexus
(NXS)","0.674795
USD"
"0chain
(ZCN)","0.255915
USD"
"Bezant
(BZNT)","0.038708
USD"
"Cashbery Coin
(CBC)","0.813328
USD"
"Eximchain
(EXC)","0.096272
USD"
"Sakura Bloom
(SKB)","0.003695
USD"
"Scry.info
(DDD)","0.070288
USD"
"MidasProtocol
(MAS)","0.020906
USD"
"HalalChain
(HLC)","0.019215
USD"
"Fusion
(FSN)","0.882413
USD"
"FairCoin
(FAIR)","0.240188
USD"
"Asch
(XAS)","0.178985
USD"
"Byteball Bytes
(GBYTE)","43.83
USD"
"Polymath
(POLY)","0.227344
USD"
"TrustNote
(TTT)","0.013302
USD"
"bitCNY
(BITCNY)","0.146643
USD"
"MktCoin
(MLM)","0.005019
USD"
"SPINDLE
(SPD)","0.002091
USD"
"Time New Bank
(TNB)","0.010126
USD"
"FirstBlood
(1ST)","0.083074
USD"
"Brickblock
(BBK)","0.113123
USD"
"Havven
(HAV)","0.143534
USD"
"Odyssey
(OCN)","0.011676
USD"
"Trade Token
(TIO)","0.147912
USD"
"Spectre.ai Dividend Token
(SXDT)","0.246924
USD"
"Blox
(CDT)","0.017963
USD"
"Civic
(CVC)","0.135955
USD"
"Graft
(GRFT)","0.020734
USD"
"Flash
(FLASH)","0.005811
USD"
"Primecoin
(XPM)","0.488835
USD"
"Etherparty
(FUEL)","0.020746
USD"
"HempCoin
(THC)","0.024547
USD"
"BitBay
(BAY)","0.019199
USD"
"Dero
(DERO)","1.41
USD"
"UpToken
(UP)","0.032293
USD"
"INS Ecosystem
(INS)","0.493409
USD"
"IOST
(IOST)","0.012186
USD"
"Olympus Labs
(MOT)","0.163153
USD"
"AdEx
(ADX)","0.244414
USD"
"LEOcoin
(LEO)","0.113112
USD"
"FunFair
(FUN)","0.014489
USD"
"Bibox Token
(BIX)","0.352153
USD"
"MonetaryUnit
(MUE)","0.035524
USD"
"Viacoin
(VIA)","0.675414
USD"
"FLO
(FLO)","0.043794
USD"
"ToaCoin
(TOA)","0.001610
USD"
"BitKan
(KAN)","0.004575
USD"
"Timicoin
(TMC)","0.030974
USD"
"PayPie
(PPP)","0.123216
USD"
"Switcheo
(SWTH)","0.008104
USD"
"Gifto
(GTO)","0.073610
USD"
"Shift
(SHIFT)","0.563662
USD"
"Santiment Network Token
(SAN)","0.463020
USD"
"Medicalchain
(MTN)","0.022273
USD"
"Aston
(ATX)","0.020048
USD"
"LockTrip
(LOC)","0.584893
USD"
"OptiToken
(OPTI)","0.237670
USD"
"APIS
(APIS)","0.002728
USD"
"LBRY Credits
(LBC)","0.047122
USD"
"Ruff
(RUFF)","0.023035
USD"
"Rialto
(XRL)","0.098759
USD"
"Callisto Network
(CLO)","0.011109
USD"
"Blocknet
(BLOCK)","3.76
USD"
"QLC Chain
(QLC)","0.049960
USD"
"Gulden
(NLG)","0.026233
USD"
"Blocktix
(TIX)","0.222601
USD"
"Hi Mutual Society
 (HMC)","0.014547
USD"
"CEEK VR
(CEEK)","0.011302
USD"
"XinFin Network
(XDCE)","0.001365
USD"
"SpaceChain
(SPC)","0.013949
USD"
"WhiteCoin
(XWC)","0.069732
USD"
"DeepBrain Chain
(DBC)","0.007587
USD"
"LinkEye
(LET)","0.010444
USD"
"Happycoin
(HPC)","0.306366
USD"
"SCRL
(SCRL)","0.069045
USD"
"Ifoods Chain
(IFOOD)","0.002572
USD"
"BlackCoin
(BLK)","0.063830
USD"
"Remme
(REM)","0.006888
USD"
"INO COIN
(INO)","0.351079
USD"
"Bitcoin Interest
(BCI)","0.893783
USD"
"Ambrosus
(AMB)","0.199229
USD"
"Apex
(CPX)","0.028618
USD"
"SwissBorg
(CHSB)","0.009782
USD"
"Docademic
(MTC)","0.035542
USD"
"SophiaTX
(SPHTX)","0.068288
USD"
"TrueChain
(TRUE)","0.455089
USD"
"Synereo
(AMP)","0.042042
USD"
"LGO Exchange
(LGO)","0.083843
USD"
"MediBloc [QRC20]
(MED)","0.004044
USD"
"QunQun
(QUN)","0.007587
USD"
"Six Domain Chain
(SDA)","0.007703
USD"
"BitTube
(TUBE)","0.087765
USD"
"Counterparty
(XCP)","3.40
USD"
"Feathercoin
(FTC)","0.042975
USD"
"Buggyra Coin Zero
 (BCZERO)","0.004874
USD"
"TraDove B2BCoin
(BBC)","0.015013
USD"
"TokenCard
(TKN)","0.466354
USD"
"Ubex
(UBEX)","0.002211
USD"
"Genaro Network
(GNX)","0.049197
USD"
"NEO
(NEO)","16.63
USD"
"ColossusXT
(COLX)","0.000519
USD"
"HTMLCOIN
(HTML)","0.000130
USD"
"DigitalNote
(XDN)","0.003049
USD"
"Dovu
(DOV)","0.013598
USD"
"Steem
(STEEM)","0.820046
USD"
"Ethereum
(ETH)","205.70
USD"
"Qtum
(QTUM)","4.29
USD"
"aelf
(ELF)","0.333943
USD"
"Komodo
(KMD)","1.29
USD"
"Apollo Currency
(APL)","0.001500
USD"
"Crypterium
(CRPT)","0.331786
USD"
"NAGA
(NGC)","0.232014
USD"
"ODEM
(ODE)","0.141669
USD"
"Zipper
(ZIP)","0.001507
USD"
"Bytom
(BTM)","0.225047
USD"
"Syscoin
(SYS)","0.100573
USD"
"TokenPay
(TPAY)","1.24
USD"
"QuarkChain
(QKC)","0.057700
USD"
"HyperCash
(HC)","1.91
USD"
"Dai
(DAI)","1.02
USD"
"Rock
(RKT)","0.029282
USD"
"Stratis
(STRAT)","1.42
USD"
"Ontology
(ONT)","1.84
USD"
"Metal
(MTL)","0.693933
USD"
"WePower
(WPR)","0.030123
USD"
"Linkey
(LKY)","0.718138
USD"
"district0x
(DNT)","0.025535
USD"
"Streamr DATAcoin
(DATA)","0.038429
USD"
"Gold Bits Coin
(GBC)","0.291314
USD"
"Ethereum Classic
(ETC)","9.68
USD"
"Groestlcoin
(GRS)","0.547228
USD"
"KuCoin Shares
(KCS)","1.12
USD"
"SaluS
(SLS)","18.89
USD"
"Mixin
(XIN)","122.62
USD"
"USD//Coin
(USDC)","1.01
USD"
"Bottos
(BTO)","0.039318
USD"
"STK
(STK)","0.012017
USD"
"Noah Coin
(NOAH)","0.001410
USD"
"Ivy
(IVY)","0.015492
USD"
"Cashaa
(CAS)","0.010751
USD"
"Huobi Token
(HT)","1.63
USD"
"Dimecoin
(DIME)","0.000009
USD"
"Verge
(XVG)","0.014515
USD"
"Chainlink
(LINK)","0.372413
USD"
"VIBE
(VIBE)","0.074326
USD"
"Lympo
(LYM)","0.018235
USD"
"Theta Token
(THETA)","0.089024
USD"
"Seele
(SEELE)","0.020936
USD"
"Decred
(DCR)","38.20
USD"
"Bancor
(BNT)","1.30
USD"
"Ignis
(IGNIS)","0.040450
USD"
"Steem Dollars
(SBD)","1.00
USD"
"Aeron
(ARN)","0.780998
USD"
"LATOKEN
(LA)","0.078916
USD"
"Gnosis
(GNO)","20.11
USD"
"TomoChain
(TOMO)","0.472693
USD"
"PCHAIN
(PAI)","0.021853
USD"
"DIMCOIN
(DIM)","0.002085
USD"
"Moeda Loyalty Points
(MDA)","1.77
USD"
"Centrality
(CENNZ)","0.036007
USD"
"OriginTrail
(TRAC)","0.033581
USD"
"ETERNAL TOKEN
(XET)","1.55
USD"
"BLOCKv
(VEE)","0.009480
USD"
"WaBi
(WABI)","0.253971
USD"
"Novacoin
(NVC)","4.90
USD"
"Propy
(PRO)","0.415621
USD"
"Shivom
(OMX)","0.005305
USD"
"Aragon
(ANT)","0.708748
USD"
"XRP
(XRP)","0.459958
USD"
"Bit-Z Token
(BZ)","0.109026
USD"
"GINcoin
(GIN)","2.07
USD"
"DECENT
(DCT)","0.231672
USD"
"Distributed Credit Chain
(DCC)","0.006380
USD"
"Gas
(GAS)","5.25
USD"
"MinexCoin
(MNX)","1.95
USD"
"NEM
(XEM)","0.100065
USD"
"Nasdacoin
(NSD)","0.231169
USD"
"Nexo
(NEXO)","0.144974
USD"
"Crown
(CRW)","0.387520
USD"
"Merculet
(MVP)","0.001008
USD"
"NIX
(NIX)","0.269092
USD"
"Dock
(DOCK)","0.020639
USD"
"Unobtanium
(UNO)","73.42
USD"
"OneLedger
(OLT)","0.007577
USD"
"SureRemit
(RMT)","0.010252
USD"
"Cindicator
(CND)","0.027001
USD"
"Energo
(TSL)","0.004704
USD"
"Expanse
(EXP)","0.220414
USD"
"Arionum
(ARO)","0.032570
USD"
"SolarCoin
(SLR)","0.055988
USD"
"PAYCENT
(PYN)","0.137405
USD"
"Bob's Repair
(BOB)","0.032885
USD"
"ArtByte
(ABY)","0.002858
USD"
"Veritaseum
(VERI)","31.37
USD"
"Enigma
(ENG)","0.610087
USD"
"Populous
(PPT)","3.48
USD"
"Incent
(INCNT)","0.084337
USD"
"Banca
(BANCA)","0.000229
USD"
"Education Ecosystem
(LEDU)","0.009975
USD"
"SIBCoin
(SIB)","0.123296
USD"
"eosDAC
(EOSDAC)","0.023015
USD"
"PIVX
(PIVX)","1.29
USD"
"BitDegree
(BDG)","0.005605
USD"
"FLIP
(FLP)","0.031483
USD"
"Aurora
(AOA)","0.026223
USD"
"Lethean
(LTHN)","0.003299
USD"
"Sprouts
(SPRTS)","9e-08
USD"
"Golos
(GOLOS)","0.014869
USD"
"Circuits of Value
(COVAL)","0.003244
USD"
"Eidoo
(EDO)","1.18
USD"
"Lisk
(LSK)","2.89
USD"
"Breakout Stake
(BRX)","0.236035
USD"
"Bodhi
(BOT)","0.094929
USD"
"Uquid Coin
(UQC)","0.169068
USD"
"Republic Protocol
(REN)","0.029279
USD"
"Devery
(EVE)","0.021362
USD"
"Clipper Coin
(CCCX)","0.001981
USD"
"Blue Protocol
(BLUE)","0.033987
USD"
"XMax
(XMX)","0.000482
USD"
"MobileGo
(MGO)","0.528533
USD"
"Waves
(WAVES)","1.99
USD"
"DopeCoin
(DOPE)","0.009401
USD"
"CanonChain
(CZR)","0.006263
USD"
"Penguin Coin
(PENG)","0.000114
USD"
"Zero
(ZER)","0.233617
USD"
"Maecenas
(ART)","0.077566
USD"
"Hurify
(HUR)","0.004003
USD"
"Sequence
(SEQ)","0.050153
USD"
"Parkgene
(GENE)","0.002725
USD"
"Guaranteed Ethurance Token Extra
(GETX)","0.002891
USD"
"ATMChain
(ATM)","0.000252
USD"
"Ryo Currency
(RYO)","0.138344
USD"
"ZelCash
(ZEL)","0.067654
USD"
"Nimiq
(NIM)","0.001216
USD"
"BitCoen
(BEN)","0.097070
USD"
"iExec RLC
(RLC)","0.483813
USD"
"PikcioChain
(PKC)","0.060615
USD"
"ATBCoin
(ATB)","0.021565
USD"
"Russian Miner Coin
(RMC)","2434.49
USD"
"Gene Source Code Chain
(GENE)","0.006229
USD"
"Tezos
(XTZ)","1.34
USD"
"StrongHands
(SHND)","1.5e-07
USD"
"Karma
(KRM)","0.001525
USD"
"DACSEE
(DACS)","0.005557
USD"
"Pirl
(PIRL)","0.080249
USD"
"4NEW
(KWATT)","0.037697
USD"
"Chronologic
(DAY)","0.808569
USD"
"Request Network
(REQ)","0.062569
USD"
"MintCoin
(MINT)","0.000130
USD"
"BBSCoin
(BBS)","0.000031
USD"
"Matryx
(MTX)","0.076396
USD"
"Gambit
(GAM)","3.04
USD"
"IDEX Membership
(IDXM)","736.66
USD"
"JET8
(J8T)","0.002782
USD"
"Kora Network Token
(KNT)","0.004687
USD"
"Mozo Token
(MOZO)","0.004120
USD"
"SALT
(SALT)","0.743494
USD"
"Internxt
(INXT)","2.14
USD"
"Bee Token
(BEE)","0.008206
USD"
"Shard
(SHARD)","0.047192
USD"
"GoByte
(GBX)","0.790006
USD"
"DigixDAO
(DGD)","45.50
USD"
"GoldCoin
(GLD)","0.029802
USD"
"MonaCoin
(MONA)","1.16
USD"
"RoBET
(ROBET)","0.590413
USD"
"Matchpool
(GUP)","0.045525
USD"
"Niobium Coin
(NBC)","0.059201
USD"
"Status
(SNT)","0.036152
USD"
"Turtlecoin
(TRTL)","0.000042
USD"
"HOQU
(HQX)","0.006553
USD"
"WeAreSatoshi
(WSX)","0.038928
USD"
"Monkey Project
(MONK)","0.238205
USD"
"Aeternity
(AE)","1.37
USD"
"Maverick Chain
(MVC)","0.007461
USD"
"Bezop
(BEZ)","0.050469
USD"
"Sentinel
(SENT)","0.001537
USD"
"Effect.AI
(EFX)","0.011114
USD"
"FoldingCoin
(FLDC)","0.003309
USD"
"Debitum
(DEB)","0.013613
USD"
"EUNOMIA
(ENTS)","0.000046
USD"
"Privatix
 (PRIX)","1.02
USD"
"AirToken
(AIR)","0.002287
USD"
"FUTURAX
(FTXT)","0.000269
USD"
"Pundi X
(NPXS)","0.001535
USD"
"Signals Network
(SGN)","0.005899
USD"
"Eristica
(ERT)","0.006264
USD"
"Dotcoin
(DOT)","0.011939
USD"
"SelfSell
(SSC)","0.007104
USD"
"Semux
(SEM)","0.467140
USD"
"Pesetacoin
(PTC)","0.004948
USD"
"Creativecoin
(CREA)","0.025044
USD"
"Cappasity
(CAPP)","0.008227
USD"
"Profile Utility Token
(PUT)","0.013367
USD"
"PinkCoin
(PINK)","0.005389
USD"
"Leadcoin
(LDC)","0.000513
USD"
"Polis
(POLIS)","0.775759
USD"
"Bounty0x
(BNTY)","0.009451
USD"
"Unibright
(UBT)","0.013037
USD"
"Atonomi
(ATMI)","0.006841
USD"
"Cruisebit
(CRBT)","0.071161
USD"
"Swisscoin
(SIC)","0.000260
USD"
"ATLANT
(ATL)","0.035203
USD"
"Yocoin
(YOC)","0.012548
USD"
"Helbiz
(HBZ)","0.002617
USD"
"FintruX Network
(FTX)","0.017131
USD"
"Forty Seven Bank
(FSBT)","0.158261
USD"
"MOAC
(MOAC)","1.15
USD"
"Bitsum
(BSM)","0.000324
USD"
"Espers
(ESP)","0.000130
USD"
"BitRent
(RNTB)","0.001817
USD"
"Sp8de
(SPX)","0.000121
USD"
"e-Gulden
(EFL)","0.027015
USD"
"Aditus
(ADI)","0.001526
USD"
"EncryptoTel [WAVES]
(ETT)","0.019724
USD"
"ZINC
(ZINC)","0.060958
USD"
"BetterBetting
(BETR)","0.006338
USD"
"VeriCoin
(VRC)","0.108965
USD"
"DAV Coin
(DAV)","0.005025
USD"
"Truegame
(TGAME)","0.009458
USD"
"Thrive Token
(THRT)","0.008318
USD"
"PetroDollar
(XPD)","0.035065
USD"
"Hashgard
(GARD)","0.000176
USD"
"Energi
(NRG)","0.483551
USD"
"Naviaddress
(NAVI)","0.003049
USD"
"POPCHAIN
(PCH)","0.007870
USD"
"Block Array
(ARY)","0.016986
USD"
"Rate3
(RTE)","0.007100
USD"
"Measurable Data Token
(MDT)","0.007387
USD"
"Memetic / PepeCoin
(MEME)","0.040550
USD"
"EBCoin
(EBC)","0.001097
USD"
"Bonpay
(BON)","0.059562
USD"
"0xBitcoin
(0xBTC)","0.276704
USD"
"Webcoin
(WEB)","0.015946
USD"
"Fox Trading
(FOXT)","0.041577
USD"
"Bitcoin Incognito
(XBI)","0.145392
USD"
"AdShares
(ADST)","0.189369
USD"
"Zcash
(ZEC)","126.40
USD"
"Cazcoin
(CAZ)","0.012614
USD"
"FedoraCoin
(TIPS)","0.000010
USD"
"Aigang
(AIX)","0.027028
USD"
"AB-Chain RTB
(RTB)","0.035392
USD"
"BitShares
(BTS)","0.103572
USD"
"EXRNchain
(EXRN)","0.000030
USD"
"Musicoin
(MUSIC)","0.003629
USD"
"Morpheus Labs
(MITX)","0.012300
USD"
"Vexanium
(VEX)","0.010681
USD"
"ProChain
(PRA)","0.070199
USD"
"NeosCoin
(NEOS)","0.391295
USD"
"Starbase
(STAR)","0.008107
USD"
"LikeCoin
(LIKE)","0.002789
USD"
"Colu Local Network
(CLN)","0.015403
USD"
"Travala
(AVA)","0.066365
USD"
"PKG Token
(PKG)","0.000028
USD"
"Crave
(CRAVE)","0.036085
USD"
"Spectre.ai Utility Token
(SXUT)","0.089241
USD"
"Curecoin
(CURE)","0.072389
USD"
"X-Cash
(XCASH)","0.000026
USD"
"Darico Ecosystem Coin
(DEC)","0.066607
USD"
"BiblePay
(BBP)","0.000446
USD"
"Internet of People
(IOP)","0.280167
USD"
"TransferCoin
(TX)","0.180373
USD"
"Mindexcoin
(MIC)","0.022191
USD"
"HOLD
(HOLD)","0.001543
USD"
"SkinCoin
(SKIN)","0.010985
USD"
"Rupee
(RUP)","0.033938
USD"
"Apollon
 (XAP)","0.011580
USD"
"Masari
(MSR)","0.288874
USD"
"Coinlancer
(CL)","0.004540
USD"
"Digital Asset Guarantee Token
(DAGT)","0.051471
USD"
"Paypex
(PAYX)","0.010673
USD"
"Acute Angle Cloud
(AAC)","0.010545
USD"
"Waves Community Token
(WCT)","0.304506
USD"
"EventChain
(EVC)","0.024766
USD"
"Ormeus Coin
(ORME)","0.181146
USD"
"Nework
(NKC)","0.016175
USD"
"Trinity Network Credit
(TNC)","0.010192
USD"
"DNotes
(NOTE)","0.018135
USD"
"CashBet Coin
(CBC)","0.029910
USD"
"Iungo
(ING)","0.012831
USD"
"ClearCoin
(XCLR)","0.001802
USD"
"Verify
(CRED)","0.066994
USD"
"Evimeria
(EVI)","0.000019
USD"
"EverGreenCoin
(EGC)","0.048402
USD"
"Datawallet
(DXT)","0.009414
USD"
"WandX
(WAND)","0.034106
USD"
"Local World Forwarders
(LWF)","0.010472
USD"
"HUZU
(HUZU)","0.314940
USD"
"Nebula AI
(NBAI)","0.001852
USD"
"Bigbom
(BBO)","0.001909
USD"
"SHIELD
(XSH)","0.005525
USD"
"NoLimitCoin
(NLC2)","0.016683
USD"
"WABnetwork
(WAB)","0.000452
USD"
"HeartBout
(HB)","0.034092
USD"
"Bitcoin Cash
(BCH)","453.77
USD"
"RED
(RED)","0.024669
USD"
"Lampix
(PIX)","0.011698
USD"
"Alphacat
(ACAT)","0.000791
USD"
"Olive
(OLE)","0.006883
USD"
"Bitcoin Token
(BTK)","0.000057
USD"
"Atmos
(ATMOS)","0.013041
USD"
"Social Send
(SEND)","0.044728
USD"
"Nano
(NANO)","2.06
USD"
"Leverj
(LEV)","0.019331
USD"
"1World
(1WO)","0.100977
USD"
"Transcodium
(TNS)","0.004707
USD"
"ZCore
(ZCR)","0.169865
USD"
"Crowd Machine
(CMCT)","0.003061
USD"
"HunterCoin
(HUC)","0.030299
USD"
"LIFE
(LIFE)","0.000065
USD"
"Peerplays
(PPY)","0.649779
USD"
"Publica
(PBL)","0.065095
USD"
"eBoost
(EBST)","0.048660
USD"
"Actinium
(ACM)","0.061798
USD"
"ZEST
(ZEST)","0.476878
USD"
"Formosa Financial
(FMF)","0.003728
USD"
"CyberFM
(CYFM)","0.000019
USD"
"VeChain
(VET)","0.011405
USD"
"Bitcoinus
(BITS)","0.007340
USD"
